id,airport,size
tfngqbthpi,kkz,MEDIUM
inaucjvenw,kkz,MEDIUM
raywfxdmxu,kkz,MEDIUM
jemhnkkldw,kkz,SMALL
sdzlyashyk,kkz,MEDIUM
kblhasybrn,kkz,LARGE
pfikohesos,kkz,LARGE
aflzvmaotw,kkz,MEDIUM
rsyblxehde,kkz,MEDIUM
poyktqlblw,kkz,SMALL
fprikpaeih,kkz,MEDIUM
pddzfubqhz,kkz,SMALL
nbmuoygoxy,kkz,MEDIUM
tjmsoeblbk,kkz,MEDIUM
evozcgsguw,kkz,SMALL
lspgluwzoi,kkz,LARGE
jvfnrzmhae,kkz,MEDIUM
lkhvzuqpgq,xhz,LARGE
hworkplnkf,xhz,LARGE
hbdtuddvnn,xhz,LARGE
glriuqtmsr,xhz,LARGE
mccwvdjajd,xhz,MEDIUM
grojpbkbcy,xhz,LARGE
bmfkfytwzc,xhz,MEDIUM
kjxbueamad,xhz,SMALL
gksusulokr,xhz,SMALL
mtzinacxfj,xhz,LARGE
dgjrmwcunt,xhz,LARGE
kpcyfrslhj,xhz,SMALL
qusboxzgwp,xhz,MEDIUM
yvjiyhblax,xhz,SMALL
dcphgloaxy,xhz,MEDIUM
mnflxawqof,xhz,LARGE
rpkpxfmlnl,xwc,LARGE
uxaiudhziv,xwc,LARGE
lbleyeuaoy,xwc,SMALL
fekwmtazoo,xwc,SMALL
rkvazsbwro,xwc,MEDIUM
qaengmmdsp,xwc,LARGE
tkvvurdbrn,mfz,SMALL
lxmydcujsz,mfz,MEDIUM
aoybfioekj,mfz,MEDIUM
qjulqozxhs,mfz,LARGE
uwqbdqmblm,mfz,SMALL
ojzzjelqyk,mfz,SMALL
bhbnqjlgff,mfz,LARGE
yudpbyjofz,mfz,SMALL
htgofmfiiz,mfz,SMALL
jyrzlfshlp,mfz,LARGE
aoekllvinz,mfz,SMALL
eyilcqmpal,mfz,LARGE
qnajpgxbwy,mfz,SMALL
ryyzwnsvdu,mfz,SMALL
almqqlrdpu,mfz,SMALL
pvfrdofzfc,mfz,LARGE
pkismcjjvm,oap,LARGE
xoawvznadk,oap,SMALL
gjmpcsvlhh,oap,MEDIUM
hmvypafyqh,oap,SMALL
wqraxggmvm,oap,SMALL
ebdbncswtj,oap,LARGE
ecypsyikoi,oap,LARGE
esrjyjofpm,oap,SMALL
hmbabjqvke,oap,SMALL
elnptwfyvh,oap,SMALL
nfjqtjfjmd,oap,MEDIUM
jeqvvwtfan,oap,LARGE
qxehyzatxz,oap,SMALL
pacxlzqlyo,oap,LARGE
bcpqhphist,oap,MEDIUM
kilsqpcvwp,oap,SMALL
wnlmksneuk,oap,LARGE
kzfrqojliq,oap,LARGE
